Latitude,Longitude
36.58,-121.95
36.6,-121.95
36.65,-121.9
36.62,-121.85
36.63,-121.82
36.75,-121.78
36.73,-121.73
36.75,-121.75
36.77,-121.77
36.82,-121.75
36.97,-121.87
36.98,-121.9
36.95,-121.95
36.97,-121.98
36.95,-122.03
36.97,-122.08
37.02,-122.18
37.12,-122.28
37.12,-122.3
37.22,-122.38
37.33,-122.37
37.48,-122.42
37.5,-122.43
37.52,-122.48
37.52,-122.48
37.58,-122.5
37.65,-122.47
37.78,-122.48
37.82,-122.45
37.82,-122.38
37.78,-122.35
37.75,-122.37
37.73,-122.33
37.72,-122.37
37.65,-122.37
37.62,-122.35
37.6,-122.3
37.58,-122.28
37.58,-122.23
37.55,-122.23
37.53,-122.18
37.52,-122.18
37.5,-122.12
37.47,-122.08
37.47,-122
37.48,-122.03
37.5,-122.03
37.52,-122.08
37.7,-122.15
37.72,-122.17
37.72,-122.22
37.73,-122.23
37.75,-122.2
37.78,-122.3
37.83,-122.3
37.83,-122.28
37.9,-122.3
37.92,-122.35
37.97,-122.4
37.97,-122.37
38.02,-122.35
38.02,-122.28
38.07,-122.22
38.03,-122.13
38.07,-122.02
38.02,-121.68
38.02,-121.67
38.03,-121.7
38.05,-121.67
38.08,-121.65
38.1,-121.6
38.05,-121.52
38.05,-121.48
38,-121.43
38.02,-121.42
38.12,-121.58
38.1,-121.65
38.07,-121.68
38.05,-121.72
38.05,-121.75
38.07,-121.77
38.1,-121.7
38.15,-121.67
38.08,-121.75
38.08,-121.85
38.07,-121.9
38.08,-121.88
38.1,-121.98
38.15,-121.97
38.15,-122
38.13,-122.03
38.1,-122.05
38.05,-122.13
38.07,-122.17
38.08,-122.23
38.12,-122.28
38.17,-122.38
38.13,-122.4
38.12,-122.48
38.08,-122.47
38.02,-122.48
38,-122.43
37.98,-122.43
37.97,-122.47
37.95,-122.47
37.93,-122.48
37.88,-122.42
37.88,-122.45
37.9,-122.47
37.88,-122.47
37.83,-122.45
37.83,-122.48
37.92,-122.63
37.93,-122.65
37.92,-122.65
37.9,-122.68
37.97,-122.75
38,-122.78
38.05,-122.9
38.08,-122.92
38.07,-122.93
38.05,-122.92
38.02,-122.95
38,-122.95
38,-123
38.05,-122.95
38.15,-122.93
38.2,-122.93
38.23,-122.97
38.18,-122.9
38.1,-122.83
38.08,-122.8
38.12,-122.83
38.25,-122.93
38.3,-122.97
38.33,-123.03
38.32,-123.03
38.32,-123.05
38.37,-123.05
38.47,-123.1
38.57,-123.32
38.65,-123.4
38.73,-123.45
38.75,-123.5
38.93,-123.7
38.97,-123.72
39.02,-123.67
39.12,-123.68
39.18,-123.72
39.22,-123.75
39.37,-123.8
39.48,-123.78
39.57,-123.73
39.62,-123.77
39.7,-123.77
39.77,-123.82
39.83,-123.82
39.98,-123.95
40.02,-124.02
40.03,-124.05
40.1,-124.07
40.25,-124.32
40.33,-124.32
40.45,-124.38
40.58,-124.33
40.65,-124.28
40.72,-124.27
40.77,-124.22
40.72,-124.25
40.7,-124.22
40.72,-124.18
40.75,-124.2
40.8,-124.17
40.82,-124.08
40.85,-124.07
40.85,-124.13
40.78,-124.2
40.87,-124.15
40.98,-124.1
41.03,-124.1
41.08,-124.13
41.15,-124.13
41.22,-124.1
41.42,-124.03
41.53,-124.07
41.55,-124.05
41.57,-124.08
41.7,-124.12
41.75,-124.15
41.78,-124.25
41.87,-124.18
41.95,-124.17
42,-124.18
42,-124.18
42.12,-124.33
42.22,-124.37
42.27,-124.4
42.3,-124.4
42.33,-124.43
42.38,-124.4
42.48,-124.42
42.55,-124.38
42.67,-124.38
42.7,-124.43
42.75,-124.47
42.75,-124.5
42.82,-124.5
42.85,-124.55
43.03,-124.43
43.35,-124.37
43.35,-124.32
43.32,-124.32
43.3,-124.3
43.33,-124.3
43.35,-124.27
43.37,-124.3
43.42,-124.25
43.43,-124.22
43.38,-124.2
43.37,-124.13
43.45,-124.2
43.48,-124.18
43.38,-124.32
43.57,-124.22
43.67,-124.18
43.7,-124.15
43.73,-124.12
43.72,-124.1
43.72,-124.07
43.75,-124.12
43.75,-124.15
43.7,-124.15
43.7,-124.18
44,-124.12
44,-124.1
44.07,-124.12
44.18,-124.1
44.33,-124.1
44.43,-124.07
44.42,-124
44.45,-124.02
44.47,-124.07
44.62,-124.05
44.62,-124
44.65,-124
44.65,-124.03
44.68,-124.05
44.73,-124.03
44.83,-124.05
44.92,-124.02
44.92,-124
45.07,-124
45.18,-123.95
45.22,-123.95
45.28,-123.93
45.33,-123.95
45.35,-123.98
45.37,-123.95
45.43,-123.93
45.4,-123.93
45.42,-123.9
45.47,-123.95
45.5,-123.95
45.52,-123.93
45.52,-123.9
45.48,-123.87
45.52,-123.83
45.53,-123.87
45.58,-123.88
45.58,-123.92
45.6,-123.93
45.68,-123.9
45.72,-123.85
45.72,-123.9
45.68,-123.92
45.72,-123.92
45.77,-123.95
45.78,-123.97
45.82,-123.95
45.88,-123.93
45.95,-123.97
45.98,-123.92
46.03,-123.92
46.13,-123.93
46.23,-123.98
46.17,-123.85
46.17,-123.8
46.13,-123.8
46.12,-123.78
46.15,-123.77
46.2,-123.83
46.22,-123.77
46.18,-123.72
46.2,-123.58
46.22,-123.6
46.22,-123.55
46.25,-123.5
46.25,-123.47
46.22,-123.43
46.17,-123.4
46.15,-123.27
46.17,-123.2
46.2,-123.17
46.17,-123.27
46.2,-123.32
46.23,-123.38
46.28,-123.43
46.27,-123.57
46.28,-123.65
46.32,-123.68
46.3,-123.7
46.28,-123.75
46.3,-123.78
46.27,-123.85
46.27,-123.9
46.33,-123.98
46.32,-124.02
46.28,-124.02
46.28,-124.07
46.28,-124.07
46.35,-124.03
46.65,-124.05
46.65,-124.02
46.63,-124.03
46.58,-124
46.5,-124.02
46.4,-123.98
46.4,-123.93
46.45,-123.92
46.42,-123.83
46.43,-123.83
46.45,-123.88
46.5,-123.92
46.53,-123.88
46.57,-123.88
46.63,-123.93
46.62,-123.88
46.65,-123.92
46.68,-123.9
46.72,-123.83
46.67,-123.78
46.7,-123.75
46.7,-123.78
46.75,-123.87
46.73,-123.92
46.75,-123.95
46.72,-123.95
46.75,-124.07
46.92,-124.12
46.93,-124.1
46.92,-124.08
46.87,-124.07
46.85,-124.02
46.85,-124
46.88,-124.02
46.88,-124.03
46.9,-124.03
46.98,-123.8
46.98,-123.92
47,-123.92
46.98,-123.97
47.05,-124.02
47.07,-124.07
47.07,-124.1
47.03,-124.13
46.97,-124.12
46.93,-124.15
46.98,-124.15
47.07,-124.15
47.22,-124.18
47.32,-124.23
47.33,-124.27
47.37,-124.25
47.37,-124.3
47.67,-124.35
47.75,-124.4
47.77,-124.43
47.83,-124.47
47.85,-124.5
47.88,-124.55
47.88,-124.58
48,-124.65
48.12,-124.68
48.17,-124.72
48.22,-124.67
48.25,-124.68
48.33,-124.65
48.37,-124.7
48.4,-124.72
48.38,-124.57
48.3,-124.4
48.25,-124.15
48.2,-124.03
48.18,-123.93
48.17,-123.78
48.17,-123.7
48.15,-123.62
48.15,-123.48
48.15,-123.42
48.13,-123.42
48.13,-123.35
48.13,-123.23
48.2,-123.1
48.17,-123.15
48.15,-123.08
48.12,-123.03
48.07,-123.02
48.05,-123
48.07,-122.98
48.1,-123
48.12,-122.95
48.1,-122.92
48.08,-122.9
48.07,-122.87
48.03,-122.83
48.02,-122.87
48,-122.85
48.05,-122.82
48.1,-122.87
48.12,-122.87
48.15,-122.83
48.17,-122.75
48.13,-122.73
48.12,-122.78
48.08,-122.78
47.98,-122.67
47.95,-122.67
47.9,-122.6
47.88,-122.67
47.85,-122.67
47.82,-122.72
47.7,-122.78
47.72,-122.82
47.82,-122.78
47.87,-122.8
47.8,-122.82
47.83,-122.85
47.77,-122.83
47.73,-122.87
47.67,-122.9
47.62,-122.97
47.52,-123.05
47.47,-123.1
47.37,-123.15
47.35,-123.1
47.37,-123
47.45,-122.83
47.45,-122.83
47.45,-122.87
47.38,-123.02
47.4,-123.1
47.52,-123.02
47.62,-122.93
47.63,-122.9
47.68,-122.75
47.75,-122.72
47.87,-122.62
47.85,-122.58
47.83,-122.57
47.83,-122.55
47.93,-122.57
47.95,-122.6
47.92,-122.52
47.82,-122.48
47.8,-122.48
47.77,-122.45
47.75,-122.48
47.77,-122.53
47.72,-122.58
47.75,-122.65
47.7,-122.6
47.58,-122.58
47.67,-122.67
47.65,-122.68
47.6,-122.67
47.58,-122.62
47.55,-122.67
47.57,-122.6
47.6,-122.53
47.55,-122.53
47.53,-122.48
47.43,-122.55
47.37,-122.53
47.35,-122.57
47.3,-122.53
47.28,-122.57
47.32,-122.67
47.33,-122.67
47.38,-122.62
47.42,-122.62
47.4,-122.63
47.35,-122.72
47.3,-122.75
47.25,-122.72
47.23,-122.73
47.22,-122.73
47.18,-122.75
47.22,-122.78
47.27,-122.82
47.32,-122.77
47.42,-122.8
47.33,-122.83
47.3,-122.92
47.2,-122.93
47.18,-122.97
47.15,-123.07
47.15,-123
47.12,-123.07
47.13,-123.02
47.2,-122.92
47.18,-122.92
47.12,-122.95
47.1,-122.98
47.12,-122.95
47.15,-122.92
47.07,-122.9
47.07,-122.88
47.1,-122.88
47.15,-122.88
47.18,-122.83
47.15,-122.85
47.15,-122.8
47.18,-122.8
47.1,-122.72
47.12,-122.68
47.2,-122.57
47.28,-122.52
47.33,-122.52
47.28,-122.42
47.3,-122.38
47.33,-122.42
47.37,-122.32
47.4,-122.32
47.47,-122.35
47.5,-122.35
47.6,-122.4
47.62,-122.37
47.58,-122.33
47.58,-122.33
47.62,-122.33
47.67,-122.42
47.73,-122.35
47.78,-122.38
47.83,-122.37
47.88,-122.32
47.97,-122.28
47.98,-122.22
48.02,-122.18
48.03,-122.2
48.03,-122.23
48.03,-122.27
48.08,-122.33
48.22,-122.38
48.23,-122.43
48.22,-122.45
48.17,-122.47
48.13,-122.45
48.1,-122.38
48.05,-122.35
48.05,-122.38
48.12,-122.45
48.12,-122.5
48.18,-122.53
48.23,-122.52
48.25,-122.5
48.25,-122.43
48.23,-122.38
48.3,-122.38
48.37,-122.5
48.37,-122.53
48.4,-122.57
48.43,-122.57
48.4,-122.63
48.42,-122.68
48.47,-122.67
48.5,-122.7
48.52,-122.62
48.45,-122.58
48.48,-122.57
48.45,-122.53
48.45,-122.48
48.53,-122.48
48.58,-122.57
48.58,-122.52
48.55,-122.47
48.55,-122.45
48.6,-122.43
48.7,-122.52
48.73,-122.5
48.75,-122.52
48.78,-122.58
48.75,-122.6
48.72,-122.63
48.72,-122.67
48.77,-122.65
48.8,-122.68
48.78,-122.7
48.82,-122.7
48.87,-122.77
48.92,-122.75
48.93,-122.77
48.93,-122.8
48.93,-122.82
48.97,-122.77
48.95,-122.73
48.98,-122.75
49,-122.73
49,-121.37
49,-119.93
49,-118.4
49,-117.03
49,-116.03
49,-114.5
49,-113.13
49,-111.8
49,-110.2
49,-108.53
49,-106.93
49,-105.57
49,-104
49,-104
49,-102.3
49,-100.6
49,-98.9
49,-97.2
49,-97.2
49,-95.15
49.38,-95.15
49.37,-95.08
49.37,-94.93
49.32,-94.82
49.17,-94.8
48.97,-94.72
48.88,-94.7
48.78,-94.7
48.75,-94.65
48.72,-94.58
48.7,-94.48
48.72,-94.4
48.7,-94.3
48.7,-94.27
48.65,-94.23
48.63,-93.85
48.62,-93.83
48.52,-93.8
48.52,-93.78
48.52,-93.65
48.53,-93.48
48.57,-93.45
48.6,-93.45
48.63,-93.25
48.62,-93.12
48.62,-92.95
48.58,-92.87
48.53,-92.72
48.53,-92.63
48.5,-92.62
48.48,-92.7
48.45,-92.7
48.43,-92.65
48.45,-92.5
48.4,-92.45
48.32,-92.45
48.23,-92.35
48.25,-92.28
48.3,-92.3
48.33,-92.27
48.35,-92.13
48.35,-92.05
48.25,-91.98
48.23,-91.93
48.23,-91.88
48.2,-91.85
48.2,-91.73
48.15,-91.68
48.12,-91.7
48.1,-91.7
48.1,-91.58
48.05,-91.58
48.05,-91.57
48.05,-91.45
48.03,-91.42
48.05,-91.4
48.08,-91.25
48.15,-91.13
48.23,-90.93
48.23,-90.87
48.23,-90.83
48.18,-90.83
48.17,-90.78
48.12,-90.78
48.08,-90.75
48.12,-90.58
48.08,-90.55
48.1,-90.48
48.1,-90.47
48.1,-90.4
48.12,-90.15
48.1,-90.07
48.08,-90.05
48.02,-90
47.98,-89.9
48.03,-89.77
48.02,-89.7
48,-89.58
48,-89.58
48,-89.43
47.98,-89.35
48,-89.3
48.25,-88.68
48.32,-88.37
47.98,-87.52
46.9,-84.85
46.65,-84.77
46.47,-84.57
46.47,-84.47
46.5,-84.42
46.5,-84.28
46.55,-84.2
46.53,-84.13
46.52,-84.12
46.4,-84.17
46.35,-84.12
46.25,-84.1
46.07,-83.97
46.07,-83.93
46.13,-83.83
46.12,-83.78
46.12,-83.63
46.07,-83.53
46.02,-83.45
45.83,-83.6
45.35,-82.55
43.58,-82.13
43.02,-82.42
43.02,-82.42
42.97,-82.42
42.9,-82.47
42.82,-82.48
42.77,-82.47
42.62,-82.52
42.57,-82.58
42.55,-82.65
42.55,-82.65
42.42,-82.8
42.3,-83.08
42.22,-83.13
42.12,-83.13
42.05,-83.17
41.87,-83.07
41.68,-82.7
41.68,-82.4
42.22,-81.25
42.4,-80.1
42.82,-78.98
42.85,-78.93
42.92,-78.92
43.1,-79.07
43.17,-79.05
43.27,-79.07
43.27,-79.07
43.47,-79.18
43.63,-78.7
43.63,-76.8
44.1,-76.43
44.35,-76.05
44.4,-75.87
44.48,-75.8
44.48,-75.8
44.62,-75.63
44.83,-75.32
