Latitude,Longitude
-10.72467621,142.4324379
-10.90082935,142.731502
-11.12972312,142.8370965
-11.42292277,142.8633333
-11.73319299,142.9094042
-11.81934249,143.027699
-11.82240924,143.2150248
-11.93052968,143.261153
-12.35947419,143.0421458
-12.50153092,143.3768349
-12.62846359,143.4555422
-12.89952918,143.5157077
-13.49823715,143.531809
-13.79054649,143.5731865
-14.34096066,143.7207218
-14.46056338,143.8530376
-14.44899557,144.0750585
-14.28642957,144.2591029
-14.18134861,144.4706902
-14.48498863,144.6137502
-14.54641195,144.7767832
-14.7387083,145.0289414
-14.81331344,145.2017945
-14.88557652,145.2659165
-15.07240202,145.2650759
-15.51126658,145.2992254
-15.86826505,145.4207677
-16.35097922,145.3964181
-16.463205,145.5211447
-17.07782878,145.9349158
-17.40264105,146.0572109
-17.75751005,146.0791579
-18.15500202,145.9822003
-18.44231532,146.161397
-18.81145104,146.2815857
-18.96769702,146.3720171
-19.32216213,146.9980872
-19.39054465,147.1258881
-19.48959105,147.4752883
-19.74998686,147.6463597
-20.02084004,148.0337818
-20.13005934,148.2607031
-20.26597693,148.8043085
-20.35673329,148.8572216
-20.42061147,148.7776222
-20.57911825,148.6265749
-20.75403331,148.7606182
-21.00997119,149.1672621
-21.22218521,149.2532917
-21.75530823,149.4422425
-22.08698996,149.5338347
-22.26220963,149.5826764
-22.39958579,149.6950218
-22.56722635,150.040142
-22.50893696,150.0317907
-22.15406316,149.9731835
-22.39091997,150.3855002
-22.46682842,150.6419398
-22.52583764,150.7250092
-22.66033196,150.786018
-23.45496301,150.827944
-23.80506316,151.228553
-23.95436542,151.4897515
-24.02639771,151.7654595
-24.17658974,151.9058782
-24.43244149,152.0425426
-24.61836947,152.157565
-24.77052335,152.4087929
-24.91953245,152.4981921
-25.00760074,152.5188518
-25.21216184,152.6359835
-25.25599863,152.6816215
-25.27147427,152.8402688
-25.30879151,152.9059982
-25.45635547,152.9655845
-26.0127035,153.0838713
-26.38100422,153.0681401
-26.74345612,153.0467883
-26.9209282,152.9827402
-27.04577201,152.8659389
-27.5902071,153.1950525
-27.81369802,153.3027587
-28.20412381,153.4002208
-28.55519916,153.430853
-28.88731685,153.3143393
-29.67017102,153.1909921
-30.493455,152.965892
-30.86418064,153.0427881
-31.24209826,153.0301421
-31.60741445,152.9093631
-32.06649796,152.6347987
-32.37853997,152.5575638
-32.74923617,152.2689431
-32.88734602,152.0012833
-32.95483395,151.7348242
-33.19008901,151.5081177
-33.52525925,151.2651786
-34.01399774,151.23277
-34.30088724,151.0064949
-34.52441776,150.8459077
-34.824701,150.870364
-35.07007636,150.7782211
-35.20917822,150.6172047
-35.35757386,150.3187329
-35.50411493,150.1894712
-35.97063038,150.0634515
-36.45225459,150.0055848
-36.88293701,149.9904743
-37.18696144,150.0059472
-37.47775831,149.8787284
-37.63996163,149.7344487
-37.77306739,149.5184462
-37.81551693,149.1705044
-37.83136413,148.5423013
-37.83099526,148.1129412
-37.89557465,147.8471978
-38.03481442,147.6385014
-38.47984256,147.0603507
-38.53608493,146.8548465
-38.66346632,146.7533374
-38.69441357,146.5934458
-38.71838049,146.3499168
-38.71235811,146.2204216
-38.87938975,146.3528064
-39.0023383,146.4475265
-38.71476418,145.873106
-38.60813119,145.524277
-38.32057613,145.5441088
-38.24063051,145.5192773
-38.03990286,145.3045469
-37.88240508,145.0595012
-37.88493882,144.8614524
-37.9698927,144.6576633
-38.0856497,144.4971581
-38.29381531,144.702632
-38.41660227,144.3106077
-38.62567566,143.9110812
-38.84100319,143.487774
-38.85254522,143.3872358
-38.74508401,143.1130016
-38.53875555,142.7110532
-38.43088854,142.4070661
-38.28151253,141.9138795
-38.25878193,141.6824812
-38.32838043,141.5737108
-38.37983655,141.553555
-38.29756094,141.2287792
-38.1309783,140.8879942
-37.99176566,140.6509145
-37.61090909,140.2448021
-37.45233019,140.0057385
-37.04884148,139.8151634
-36.62326562,139.7959603
-36.43091441,139.7630184
-36.19942152,139.6839222
-35.85874753,139.3768367
-35.61405859,139.3108783
-35.41506797,139.2970368
-35.41230808,139.0486659
-35.60394656,138.6835153
-35.66139227,138.406634
-35.69045792,138.2480256
-35.65839137,138.1658176
-35.5789899,138.0974512
-35.36382703,138.327982
-35.09659299,138.4357715
-34.71124635,138.4692626
-34.56068853,138.3517104
-34.28630079,138.1018963
-34.12244292,137.9868447
-34.46680822,137.8309613
-35.12537954,137.6386518
-35.17364546,137.5455827
-35.15925107,137.1840402
-35.22673386,137.0838992
-35.22966454,136.9943479
-35.2379794,136.8767868
-35.06062021,136.9913896
-34.88117734,137.0528158
-34.83740776,137.0951948
-34.86822402,137.3799722
-34.80799454,137.4985801
-34.69418242,137.571916
-34.22881331,137.5495868
-33.83850109,137.6868019
-33.62679351,137.7884347
-33.44158861,137.8122705
-33.24977587,137.8115997
-33.19018138,137.860524
-33.18177532,137.9743386
-33.01456209,138.0752114
-32.90892069,138.0512901
-32.67939758,137.9003869
-32.45196459,137.7451796
-32.78020567,137.727451
-32.89930835,137.6359373
-33.04344972,137.4513265
-33.26141354,137.357483
-33.33329995,137.3338993
-33.54764017,137.2918917
-33.7011072,137.1995703
-33.82994174,136.852231
-34.04765242,136.4877065
-34.29462223,136.155905
-34.57811572,135.9512652
-34.916435,135.6706253
-34.77022168,135.4880233
-34.30107755,135.4019486
