lat,lon,precipitation
29.3483,-103.2093,0
29.56222,-91.52556,0
31.3953,-92.2907,0
32.6933,-103.2125,0
38.75,-109.76278,0.141421356
44.52278,-114.215,0.141421356
33.45,-105.51667,0.173205081
47.28556,-68.31333,0.173205081
31.4583,-109.6061,0.2
46.1569,-123.8825,0.2
30.38333,-103.68333,0.316227766
33.8116,-118.1463,0.331662479
33.87194,-117.97889,0.331662479
25.90694,-80.28028,0.346410162
31.60722,-110.42806,0.360555128
33.97528,-117.63611,0.360555128
33.6186,-114.7142,0.374165739
33.8222,-116.5043,0.374165739
30.37139,-104.01667,0.387298335
35.0419,-106.6155,0.387298335
33.92278,-118.33417,0.4
26.19694,-80.17083,0.412310563
31.58833,-110.34417,0.424264069
34.20972,-118.48917,0.424264069
45.6194,-121.1661,0.424264069
33.4392,-117.1904,0.435889894
33.68,-117.86639,0.435889894
25.6475,-80.43306,0.447213595
35.23722,-120.64139,0.458257569
45.19472,-123.13389,0.458257569
31.3825,-103.51083,0.479583152
34.01583,-118.45139,0.479583152
27.1526,-81.3689,0.489897949
32.6137,-106.7414,0.489897949
34.0236,-118.2911,0.489897949
32.83972,-105.99056,0.509901951
45.82583,-119.26111,0.529150262
46.26667,-119.11667,0.529150262
34.05611,-117.60028,0.538516481
32.28333,-106.91667,0.556776436
32.65,-114.61667,0.556776436
30.04806,-102.21306,0.574456265
31.5907,-110.5087,0.574456265
47.20778,-119.31917,0.574456265
32.835,-114.1884,0.591607978
33.62667,-116.15944,0.591607978
44.8428,-117.8086,0.591607978
32.8525,-104.4675,0.608276253
32.26222,-107.72056,0.6164414
36.33333,-119.95,0.6164414
40.0681,-118.5692,0.6244998
43.76944,-88.49083,0.6244998
43.6497,-70.3002,0.632455532
45.6983,-118.8547,0.640312424
33.21944,-117.34944,0.678232998
34.4141,-119.8796,0.678232998
34.5584,-98.4172,0.678232998
26.1522,-81.7752,0.68556546
32.2395,-111.1696,0.68556546
34.7436,-118.7242,0.68556546
34.20083,-119.20694,0.692820323
26.22806,-97.65417,0.7
32.03639,-102.10111,0.7
32.85472,-109.63528,0.707106781
36.6636,-121.6081,0.707106781
33.4277,-112.0038,0.714142843
43.1111,-76.1038,0.721110255
44.54444,-110.42111,0.728010989
48.464444,-119.516944,0.728010989
28.08361,-97.04639,0.734846923
33.62278,-111.91056,0.734846923
34.4258,-119.8425,0.734846923
32.7336,-117.1831,0.741619849
47.3078,-119.5154,0.741619849
34.21667,-119.08333,0.754983444
36.31889,-119.62889,0.754983444
47.4174,-117.5264,0.754983444
26.18389,-98.25389,0.768114575
42.72667,-114.45639,0.768114575
43.51639,-112.06722,0.774596669
36.58806,-121.84528,0.781024968
42.2068,-75.98,0.787400787
28.82083,-81.80972,0.793725393
36.93583,-121.78861,0.793725393
40.29639,-78.32028,0.806225775
47.68306,-117.32139,0.806225775
38.0494,-103.5122,0.818535277
42.14694,-121.72417,0.830662386
41.0993,-102.9863,0.836660027
41.2433,-76.9217,0.836660027
34.8536,-116.7858,0.842614977
44.63806,-90.1875,0.842614977
38.70417,-93.18333,0.848528137
37.14306,-107.76028,0.854400375
32.66361,-97.09389,0.860232527
35.00278,-105.66278,0.866025404
41.27306,-111.03056,0.871779789
33.3075,-104.5083,0.877496439
37.30694,-108.62639,0.877496439
41.78139,-122.46806,0.883176087
48.12028,-123.49833,0.883176087
35.593,-88.9167,0.888819442
35.61694,-106.08889,0.888819442
35.53417,-97.64694,0.894427191
25.8996,-81.3183,0.9
33.9557,-102.774,0.9
37.6197,-122.3647,0.905538514
34.51833,-109.37917,0.911043358
31.42083,-110.84583,0.916515139
39.49,-121.61833,0.916515139
45.788,-111.1608,0.916515139
48.52222,-123.02306,0.916515139
42.59056,-117.86444,0.921954446
37.2958,-81.2077,0.92736185
31.84556,-86.61083,0.932737905
33.1532,-79.3637,0.932737905
32.81583,-117.13944,0.938083152
34.3557,-106.8859,0.943398113
33.68833,-112.08167,0.948683298
27.40139,-82.55861,0.953939201
30.91194,-102.91667,0.953939201
37.6542,-122.115,0.959166305
43.96667,-90.73333,0.959166305
45.55111,-122.40889,0.959166305
27.68333,-97.28333,0.969535971
38.2102,-122.2847,0.969535971
33.23667,-107.26806,0.974679434
40.49278,-107.52417,0.974679434
33.9,-117.25,0.979795897
37.70639,-112.14556,0.979795897
39.4838,-119.7711,0.979795897
42.3811,-122.8722,0.979795897
31.92056,-102.38667,0.98488578
31.7801,-103.2018,0.989949494
37.32778,-95.50417,0.989949494
45.15417,-89.11056,0.989949494
26.91722,-81.99139,0.994987437
35.01694,-80.62056,1
42.57083,-77.71333,1
45.60444,-103.54639,1.004987562
33.6656,-101.8231,1.009950494
36.6206,-116.0278,1.009950494
39.75556,-82.65722,1.009950494
38.5069,-121.495,1.014889157
34.34778,-85.16111,1.019803903
37.3711,-118.358,1.019803903
41.4525,-87.00583,1.019803903
44.905,-123.0011,1.019803903
37.9917,-122.055,1.024695077
35.6575,-109.06139,1.029563014
40.08028,-95.59194,1.029563014
43.8788,-91.2527,1.029563014
40.9017,-117.808,1.034408043
45.81833,-88.11444,1.034408043
33.3,-117.35,1.039230485
25.7905,-80.3163,1.044030651
34.98694,-81.0575,1.044030651
42.5416,-113.7661,1.044030651
27.76472,-82.6275,1.048808848
38.50583,-107.89889,1.048808848
32.67528,-102.65444,1.053565375
35.94611,-112.15472,1.053565375
48.7412,-113.433,1.058300524
37.3169,-79.9741,1.063014581
42.1927,-89.093,1.063014581
48.35,-122.66667,1.063014581
43.9922,-76.0217,1.067707825
43.9041,-92.4916,1.072380529
39.37556,-99.82972,1.077032961
43.73306,-103.61139,1.077032961
47.49333,-122.21444,1.081665383
47.4444,-122.3138,1.090871211
37.70806,-77.43444,1.095445115
35.7552,-112.3374,1.1
38.3208,-123.0747,1.1
48.9676,-102.1702,1.1
24.58333,-81.68333,1.109053651
40.63861,-73.76222,1.113552873
45.6983,-110.4408,1.113552873
42.9202,-112.5711,1.118033989
28.4339,-81.325,1.126942767
39.12583,-123.20083,1.126942767
40.1519,-122.2536,1.13137085
45.8069,-108.5422,1.13137085
35.1441,-111.6663,1.140175425
45.51139,-118.42472,1.140175425
28.06222,-81.75417,1.153256259
28.1011,-80.6439,1.15758369
43.96583,-107.95083,1.15758369
45.03194,-102.01917,1.15758369
46.9208,-114.0925,1.15758369
38.5038,-122.8102,1.161895004
32.48333,-80.71667,1.170469991
28.54528,-81.33306,1.174734012
35.65417,-105.14194,1.174734012
36.87806,-91.9025,1.174734012
41.0375,-81.46417,1.174734012
43.6615,-110.712,1.174734012
47.53028,-122.30083,1.174734012
40.7781,-111.9694,1.178982612
44.35917,-89.83694,1.178982612
24.555,-81.75222,1.183215957
37.2553,-108.5035,1.183215957
37.40583,-122.04806,1.187434209
28.47361,-82.45444,1.191637529
34.70842,-77.43966,1.191637529
44.65,-73.46667,1.191637529
46.8847,-110.2895,1.191637529
35.0311,-85.2014,1.195826074
31.9475,-102.2086,1.204159458
47.45694,-115.645,1.204159458
24.72583,-81.05167,1.208304597
26.6847,-80.0994,1.208304597
37.7705,-122.4269,1.208304597
41.34611,-82.17944,1.208304597
43.35,-73.6167,1.208304597
43.53333,-72.95,1.208304597
42.48194,-114.48694,1.212435565
38.5552,-121.4183,1.216552506
44.55,-89.53333,1.216552506
28.6159,-80.6929,1.228820573
34.21,-98.59,1.228820573
42.15778,-72.71611,1.228820573
37.3591,-121.924,1.236931688
43.1167,-77.6767,1.240967365
26.25,-80.10833,1.24498996
38.98333,-76.46667,1.24498996
34.24861,-82.15917,1.2489996
47.9428,-97.1839,1.2489996
48.4887,-105.2096,1.2489996
37.6241,-120.9505,1.252996409
48.3042,-114.2636,1.256980509
43.66472,-92.93333,1.260952021
43.76944,-87.85056,1.260952021
27.651,-80.4199,1.264911064
29.21139,-99.74361,1.268857754
39.6013,-116.0055,1.268857754
39.60917,-110.75472,1.268857754
46.9727,-123.9302,1.268857754
34.73361,-76.66056,1.272792206
39.2952,-114.8466,1.272792206
46.09472,-118.28694,1.276714533
41.3167,-105.6833,1.280624847
43.1952,-71.5011,1.284523258
48.6033,-112.3752,1.284523258
29.6919,-82.2755,1.288409873
36.04667,-79.47694,1.288409873
44.88889,-116.10167,1.288409873
44.93583,-74.84583,1.288409873
27.96194,-82.5403,1.292284798
37.6927,-121.8144,1.292284798
40.27694,-74.81583,1.292284798
35.0677,-77.048,1.29614814
37.9372,-75.4708,1.29614814
43.21194,-90.18139,1.29614814
44.53444,-72.61444,1.3
37.2381,-120.8825,1.303840481
32.6261,-116.4681,1.311487705
42.93333,-71.43833,1.315294644
35.5144,-108.794,1.319090596
44.74083,-85.5825,1.319090596
37.4389,-105.8613,1.322875656
39.8683,-75.2311,1.322875656
36.74139,-104.50222,1.326649916
45.62083,-122.65722,1.33041347
38.14167,-76.42917,1.337908816
40.65083,-75.4492,1.337908816
47.46667,-87.88333,1.337908816
42.955,-87.9044,1.341640786
44.4683,-73.1499,1.341640786
48.3055,-95.8744,1.341640786
28.3045,-96.823,1.345362405
42.40917,-83.01,1.345362405
42.7431,-73.8092,1.349073756
46.74389,-117.10861,1.352774926
48.3082,-105.1018,1.352774926
42.9408,-78.7358,1.360147051
44.0433,-103.0536,1.360147051
47.74722,-90.34444,1.36381817
40.23833,-75.55722,1.367479433
41.19611,-112.01139,1.367479433
38.9408,-77.4636,1.37113092
40.08194,-75.01111,1.37113092
39.5514,-97.6508,1.378404875
42.71722,-71.12389,1.378404875
30.78361,-98.66194,1.382027496
34.2675,-77.8997,1.382027496
41.50972,-72.82778,1.382027496
44.02194,-82.79306,1.385640646
34.6941,-85.9998,1.396424004
42.665,-83.41806,1.396424004
48.1738,-103.6366,1.396424004
45.5958,-122.6093,1.4
36.13361,-80.22222,1.403566885
42.805,-72.00361,1.407124728
34.4272,-100.2831,1.410673598
40.8288,-115.7886,1.410673598
33.46167,-80.85806,1.417744688
38.76667,-104.3,1.417744688
43.10833,-78.93806,1.42126704
43.34972,-76.38472,1.424780685
28,-82.05,1.428285686
40.6507,-122.6068,1.428285686
43.072504,-92.610809,1.428285686
38.07,-102.68806,1.431782106
40.4846,-80.2144,1.431782106
42.15944,-76.89194,1.431782106
28.77972,-81.24361,1.435270009
34.5653,-85.6171,1.435270009
40.21722,-76.85139,1.44222051
42.58417,-70.9175,1.44222051
33.11,-98.55528,1.445683229
34.4977,-82.7097,1.445683229
46.92528,-96.81111,1.445683229
43.1405,-89.3452,1.452583905
36.98389,-77.00722,1.456021978
